,phrase,label,sentiment,subjectivity,language,count
Pietrele lui Solomon,Pietrele lui Solomon,ORG,0.0,0.0,en,1.9
CSAT,CSAT,ORG,0.18421052631578946,0.18421052631578946,en,1.9
Elcen,Elcen,ORG,0.125,0.1118421052631579,en,1.9
Cornu,Cornu,ORG,0.0,0.0,en,1.9
DSU,DSU,ORG,0.2631578947368421,0.2631578947368421,en,1.9
The Capital City Hall,The Capital City Hall,ORG,0.0,0.0,en,1.9
NATO,NATO,ORG,0.08771929824561403,0.0,en,1.9
Buzau,Buzau,ORG,0.0,0.0,en,1.9
Pietrele,Pietrele,ORG,0.0,0.0,en,1.9
The Ministry of Development,The Ministry of Development,ORG,0.0,0.0,en,1.9
MFA,MFA,ORG,0.0,0.0,en,1.9
Salvamont,Salvamont,ORG,0.12361111111111112,0.29999999999999993,en,1.8
Toyota,Toyota,ORG,0.09313725490196079,0.39215686274509803,en,1.7
The Ministry of Foreign Affairs,The Ministry of Foreign Affairs,ORG,-0.08823529411764706,0.07352941176470588,en,1.7
Times,Times,ORG,0.020833333333333332,0.08333333333333333,en,1.6
the European Commission,the European Commission,ORG,-0.0390625,0.0,en,1.6
CTP,CTP,ORG,0.08974358974358974,0.10256410256410256,en,1.3
Kremlin,Kremlin,ORG,-0.24358974358974356,0.5192307692307693,en,1.3
BNR,BNR,ORG,0.0,0.0,en,1.3
Constantin Dumbravă,Constantin Dumbravă,ORG,0.16025641025641027,0.09615384615384615,en,1.3
MAGA,MAGA,ORG,0.2307692307692307,0.46153846153846156,en,1.3
horas,horas,ORG,-0.13141025641025642,0.3846153846153846,en,1.3
The Minister of Energy,The Minister of Energy,ORG,0.03846153846153849,0.3247863247863248,en,1.3
Apollo,Apollo,ORG,0.10489510489510488,0.34965034965034963,en,1.3
Pontus,Pontus,ORG,0.0,0.1923076923076923,en,1.3
Pilate,Pilate,ORG,0.0,0.1923076923076923,en,1.3
PSD,PSD,ORG,0.21367521367521367,0.09401709401709402,en,1.3
DPA,DPA,ORG,0.04807692307692307,0.04807692307692307,en,1.3
State,State,ORG,0.2348484848484848,0.3863636363636363,en,1.1
Champions League,Champions League,ORG,0.0,0.0,en,1.0
the National Bank of Romania,the National Bank of Romania,ORG,-0.1,0.0,en,1.0
multiannual,multiannual,ORG,0.2,0.0,en,1.0
MApN,MApN,ORG,0.0,0.0,en,1.0
Juventus,Juventus,ORG,-0.25555555555555554,0.0,en,1.0
DN 67C – Transalpina,DN 67C – Transalpina,ORG,0.04166666666666666,0.0,en,1.0
Coalition,Coalition,ORG,-0.05,0.0,en,1.0
Novaci,Novaci,ORG,0.10277777777777776,0.0,en,1.0
HotNews,HotNews,ORG,0.0,0.0,en,1.0
MAP Flood,MAP Flood,ORG,0.0,0.0,en,1.0
the Champions League,the Champions League,ORG,-0.25555555555555554,0.0,en,1.0
UNSAR,UNSAR,ORG,0.09999999999999999,0.0,en,1.0
BRD,BRD,ORG,0.0,0.0,en,1.0
the Boston Globe,the Boston Globe,ORG,0.0,0.0,en,1.0
jur,jur,ORG,0.0,0.0,en,1.0
Infotraffic Center,Infotraffic Center,ORG,-0.025,0.0,en,1.0
Police Infotraffic Center,Police Infotraffic Center,ORG,-0.05,0.0,en,1.0
PNRR,PNRR,ORG,0.0,0.0,en,1.0
the Superior Council of Magistrates,the Superior Council of Magistrates,ORG,0.13999999999999999,0.0,en,1.0
National,National,ORG,0.0,0.0,en,1.0
US Supreme Court,US Supreme Court,ORG,0.05000000000000002,0.0,en,1.0
The United States Supreme Court's,The United States Supreme Court's,ORG,0.0,0.0,en,1.0
AI,AI,ORG,0.042857142857142864,0.0,en,1.0
Brâncuși,Brâncuși,ORG,0.0,0.0,en,1.0
Infinitul,Infinitul,ORG,0.0,0.0,en,1.0
CIA,CIA,ORG,0.0,0.0,en,1.0
the National Weather Service,the National Weather Service,ORG,0.0,0.0,en,1.0
The Ialomița County Police Inspectorate,The Ialomița County Police Inspectorate,ORG,-0.1125,0.0,en,1.0
Digi 24,Digi 24,ORG,0.0,0.0,en,1.0
Piazza Vittorio Veneto,Piazza Vittorio Veneto,ORG,-0.3333333333333333,0.0,en,1.0
the National Union of Insurance and Reinsurance Companies,the National Union of Insurance and Reinsurance Companies,ORG,0.09999999999999999,0.0,en,1.0
Melatonin,Melatonin,ORG,0.0,0.0,en,1.0
IGSU,IGSU,ORG,-0.6999999999999998,0.0,en,1.0
the Constanța Clinical Hospital for Infectious Diseases,the Constanța Clinical Hospital for Infectious Diseases,ORG,0.16666666666666666,0.0,en,1.0
Bolojan,Bolojan,ORG,-0.2916666666666667,0.0,en,1.0
ISU Olt,ISU Olt,ORG,0.03333333333333333,0.0,en,1.0
HL,HL,ORG,0.16666666666666666,0.0,en,1.0
the Ministry of Foreign Affairs,the Ministry of Foreign Affairs,ORG,0.10119047619047618,0.0,en,1.0
the F Museum,the F Museum,ORG,0.0,0.0,en,1.0
Skoda Octavia,Skoda Octavia,ORG,0.0,0.0,en,1.0
V. Lascăr,V. Lascăr,ORG,0.0,0.0,en,1.0
the World Bank,the World Bank,ORG,0.08333333333333333,0.0,en,1.0
the Minister of European Investments,the Minister of European Investments,ORG,0.08333333333333333,0.0,en,1.0
@sabinix,@sabinix,ORG,0.16666666666666666,0.0,en,1.0
The Minister of Finance,The Minister of Finance,ORG,0.08333333333333333,0.0,en,1.0
Catholic Easter,Catholic Easter,ORG,0.3666666666666667,0.0,en,1.0
EC,EC,ORG,0.0,0.0,en,1.0
RFI,RFI,ORG,0.1,0.0,en,1.0
Savior,Savior,ORG,0.04999999999999999,0.0,en,1.0
The Financial Times,The Financial Times,ORG,0.03125,0.0,en,1.0
Santa,Santa,ORG,0.0,0.0,en,1.0
DN18,DN18,ORG,-0.08333333333333333,0.0,en,1.0
Câmpina,Câmpina,ORG,0.0,0.0,en,1.0
the European Copernicus Observatory,the European Copernicus Observatory,ORG,0.025,0.0,en,1.0
CTV News,CTV News,ORG,-0.209375,0.0,en,1.0
the European Executive,the European Executive,ORG,0.0,0.0,en,1.0
the National Assessment,the National Assessment,ORG,-0.08333333333333333,0.0,en,1.0
the National Institute for Earth Physics,the National Institute for Earth Physics,ORG,-0.15000000000000002,0.0,en,1.0
Riviera,Riviera,ORG,0.15,0.0,en,1.0
UDMR,UDMR,ORG,-0.05,0.0,en,1.0
06:01,06:01,ORG,0.0,0.0,en,1.0
Le Monde,Le Monde,ORG,0.04999999999999999,0.0,en,1.0
Christianity,Christianity,ORG,0.016666666666666663,0.0,en,1.0
the European Space Agency,the European Space Agency,ORG,0.0,0.0,en,1.0
the Iranian Ministry of Foreign Affairs,the Iranian Ministry of Foreign Affairs,ORG,-0.0625,0.0,en,1.0
Fifor,Fifor,ORG,-0.2916666666666667,0.0,en,1.0
Herăstrau,Herăstrau,ORG,0.0,0.0,en,1.0
the Gasteig Cultural Center HP 8,the Gasteig Cultural Center HP 8,ORG,-0.03333333333333333,0.0,en,1.0
l/m2,l/m2,ORG,0.04545454545454545,0.0,en,1.0
Hârșova,Hârșova,ORG,-0.1625,0.0,en,1.0
nea Ilia,nea Ilia,ORG,0.0,0.0,en,1.0
Evtol,Evtol,ORG,0.1,0.0,en,1.0
Maduro,Maduro,ORG,-0.1,0.0,en,1.0
Wagner Group,Wagner Group,ORG,-0.13333333333333333,0.0,en,1.0
Breaking News,Breaking News,ORG,0.0,0.0,en,1.0
the Constitution of Greater Romania,the Constitution of Greater Romania,ORG,0.375,0.0,en,1.0
the Socialist Republic,the Socialist Republic,ORG,0.25,0.0,en,1.0
the Social Democrats,the Social Democrats,ORG,0.07777777777777778,0.0,en,1.0
the Oltenia Energy Complex,the Oltenia Energy Complex,ORG,-0.3,0.0,en,1.0
Mountaineer,Mountaineer,ORG,0.0,0.0,en,1.0
Kondratieff,Kondratieff,ORG,0.08733766233766234,0.0,en,1.0
The Winter Command,The Winter Command,ORG,0.0,0.0,en,1.0
MAI,MAI,ORG,0.0,0.0,en,1.0
Termo,Termo,ORG,0.0,0.0,en,1.0
CET Bucharest Sud,CET Bucharest Sud,ORG,0.125,0.0,en,1.0
Spartan,Spartan,ORG,0.037500000000000006,0.0,en,1.0
Elli,Elli,ORG,-0.15555555555555559,0.0,en,1.0
Greenland,Greenland,ORG,0.45,0.0,en,1.0
The Ministry of Energy,The Ministry of Energy,ORG,-0.14722222222222223,0.0,en,1.0
superlong Kondratieff,superlong Kondratieff,ORG,0.0,0.0,en,1.0
ELCEN,ELCEN,ORG,0.016666666666666673,0.0,en,1.0
Mount Elbrus,Mount Elbrus,ORG,0.4000000000000001,0.0,en,1.0
The Minister of Health,The Minister of Health,ORG,0.0,0.0,en,1.0
the Minister of Health,the Minister of Health,ORG,0.0,0.0,en,1.0
the Ministry of Health,the Ministry of Health,ORG,0.0,0.0,en,1.0
the Institute of Cardiovascular Diseases CC Iliescu,the Institute of Cardiovascular Diseases CC Iliescu,ORG,0.0,0.0,en,1.0
CNN,CNN,ORG,0.05,0.0,en,1.0
Wizz Air company,Wizz Air company,ORG,0.0,0.0,en,1.0
the National Institute of Infectious Diseases,the National Institute of Infectious Diseases,ORG,0.0,0.0,en,1.0
​​reaching,​​reaching,ORG,-0.3,0.0,en,1.0
Maramureş,Maramureş,ORG,0.10212987012987014,0.0,en,1.0
the National Institute,the National Institute,ORG,-0.125,0.0,en,1.0
Sfântul Ion,Sfântul Ion,ORG,0.0,0.0,en,1.0
Bucharesters,Bucharesters,ORG,0.125,0.0,en,1.0
Blue Origin's,Blue Origin's,ORG,0.08333333333333333,0.0,en,1.0
Cobza,Cobza,ORG,0.0,0.0,en,1.0
UNESCO,UNESCO,ORG,0.15000000000000002,0.525,en,1.0
the Intergovernmental Committee for the Safeguarding of,the Intergovernmental Committee for the Safeguarding of,ORG,0.05,0.0,en,1.0
the Kyiv Post,the Kyiv Post,ORG,0.0,0.0,en,1.0
the UNESCO Intangible Cultural Heritage,the UNESCO Intangible Cultural Heritage,ORG,0.1,0.0,en,1.0
the Ministry of Culture,the Ministry of Culture,ORG,0.1,0.0,en,1.0
Becali,Becali,ORG,0.0,0.0,en,1.0
Feyenoord,Feyenoord,ORG,0.6499999999999999,0.775,en,1.0
FCSB,FCSB,ORG,0.3,0.0,en,1.0
the Europa League,the Europa League,ORG,0.3,0.0,en,1.0
the EU Council,the EU Council,ORG,0.0,0.0,en,1.0
Prahova,Prahova,ORG,0.0,0.0,en,1.0
The Department of Emergency Management,The Department of Emergency Management,ORG,0.0,0.0,en,1.0
FlightAware,FlightAware,ORG,-0.125,0.0,en,1.0
the Ministry of the Environment,the Ministry of the Environment,ORG,0.0,0.0,en,1.0
The Ministry of the Environment,The Ministry of the Environment,ORG,0.27777777777777773,0.0,en,1.0
Code Yellow and Code,Code Yellow and Code,ORG,0.27777777777777773,0.0,en,1.0
Luna 1,Luna 1,ORG,0.25,0.0,en,1.0
Sun,Sun,ORG,0.25,0.0,en,1.0
Galațiului,Galațiului,ORG,0.10212987012987014,0.0,en,1.0
VIDEO Autostrada Soarelui,VIDEO Autostrada Soarelui,ORG,0.0,0.0,en,1.0
the Winter Command,the Winter Command,ORG,-0.36666666666666664,0.0,en,1.0
RTL Today,RTL Today,ORG,0.05,0.0,en,1.0
House of Representatives,House of Representatives,ORG,0.11666666666666667,0.0,en,1.0
RO,RO,ORG,0.0,0.0,en,1.0
Red Code,Red Code,ORG,0.0,0.0,en,1.0
News.ro,News.ro,ORG,0.03333333333333333,0.0,en,1.0
Farmers,Farmers,ORG,0.0,0.0,en,1.0
Infotraffic,Infotraffic,ORG,0.0,0.0,en,1.0
Kievan,Kievan,ORG,0.0,0.0,en,1.0
the Jerusalem Post,the Jerusalem Post,ORG,0.5,0.0,en,1.0
BLS,BLS,ORG,0.05,0.0,en,1.0
the Board of Directors of the National Bank,the Board of Directors of the National Bank,ORG,0.4000000000000001,0.0,en,1.0
the Institute for Earth Physics,the Institute for Earth Physics,ORG,0.0,0.0,en,1.0
the Department for Emergency Situations,the Department for Emergency Situations,ORG,0.1875,0.0,en,1.0
Elon Musk,Elon Musk,ORG,0.1,0.0,en,1.0
the Supreme Court of Justice,the Supreme Court of Justice,ORG,0.21875,0.0,en,1.0
PSRM,PSRM,ORG,0.21875,0.0,en,1.0
A3,A3,ORG,-0.1,0.0,en,1.0
NBR,NBR,ORG,0.05,0.0,en,1.0
Ilfov,Ilfov,ORG,0.0,0.0,en,1.0
Ministry of Education,Ministry of Education,ORG,0.325,0.0,en,1.0
The Ministry of Education,The Ministry of Education,ORG,0.0,0.0,en,1.0
the US,the US,ORG,0.11666666666666667,0.0,en,1.0
the Legal Commission,the Legal Commission,ORG,0.11666666666666667,0.0,en,1.0
the MAGA Commission,the MAGA Commission,ORG,0.0,0.0,en,1.0
the General Directorate of Meteorology,the General Directorate of Meteorology,ORG,-0.024999999999999994,0.0,en,1.0
the European Mediterranean Seismological Center,the European Mediterranean Seismological Center,ORG,-0.03333333333333333,0.0,en,1.0
EMSC,EMSC,ORG,-0.03333333333333333,0.0,en,1.0
Rodnei,Rodnei,ORG,0.1875,0.0,en,1.0
The Foreign Office,The Foreign Office,ORG,-0.0625,0.0,en,1.0
PHOTO USA,PHOTO USA,ORG,0.0,0.0,en,1.0
Arad,Arad,ORG,0.14444444444444443,0.0,en,1.0
The National Meteorological Authority,The National Meteorological Authority,ORG,0.10833333333333332,0.0,en,1.0
the National Institute of Hydrology,the National Institute of Hydrology,ORG,0.0,0.0,en,1.0
Vulkangruppe,Vulkangruppe,ORG,0.0,0.0,en,1.0
ABC News,ABC News,ORG,0.0,0.0,en,1.0
Yellow Flood Codes,Yellow Flood Codes,ORG,0.0,0.0,en,1.0
The China Meteorological Administration,The China Meteorological Administration,ORG,-0.049999999999999996,0.0,en,1.0
PHOTO/VIDEO Moscow,PHOTO/VIDEO Moscow,ORG,0.0,0.0,en,1.0
the Moscow State University,the Moscow State University,ORG,0.25,0.0,en,1.0
AP,AP,ORG,-0.07916666666666666,0.0,en,1.0
MAP,MAP,ORG,0.0,0.0,en,1.0
Nuclearelectrica,Nuclearelectrica,ORG,-0.1,0.0,en,1.0
The Air Force of Ukraine,The Air Force of Ukraine,ORG,0.24166666666666667,0.0,en,1.0
The Portuguese Institute,The Portuguese Institute,ORG,0.0,0.0,en,1.0
Fruit,Fruit,ORG,-0.016666666666666663,0.0,en,1.0
